task,demo,selection_family,method_label,source_group,run_root,eval_root,step_dir,round_index,camera,total_videos,camera_videos,num_cameras,success_mean,success_pct,reward_mean,status
can,15,best,Best round of SAILOR training,ours,/OURS/robomimic__can/can15_24000_main_clean_demos15/seed555,/OURS/robomimic__can/can15_24000_main_clean_demos15/seed555/SAILOR_eval_videos,/OURS/robomimic__can/can15_24000_main_clean_demos15/seed555/SAILOR_eval_videos/step_round_30,30,all,10,10,2,0.540000,54.00,-153.104000,selected
can,15,official_vs_ours,DP + SAILOR step_init,official,/OFFICIAL/robomimic__can/can_15demos_75h_1cpu_40gb_gpu_16ram_resnetload_demos15/seed2,/OFFICIAL/robomimic__can/can_15demos_75h_1cpu_40gb_gpu_16ram_resnetload_demos15/seed2/DP_Distilled_eval_videos,/OFFICIAL/robomimic__can/can_15demos_75h_1cpu_40gb_gpu_16ram_resnetload_demos15/seed2/DP_Distilled_eval_videos/step_init,,all,10,10,2,0.660000,66.00,-122.014000,selected
can,15,official_vs_ours,DP + SAILOR best round,official,/OFFICIAL/robomimic__can/can_15demos_75h_1cpu_40gb_gpu_16ram_resnetload_demos15/seed2,/OFFICIAL/robomimic__can/can_15demos_75h_1cpu_40gb_gpu_16ram_resnetload_demos15/seed2/SAILOR_eval_videos,/OFFICIAL/robomimic__can/can_15demos_75h_1cpu_40gb_gpu_16ram_resnetload_demos15/seed2/SAILOR_eval_videos/step_round_80,80,all,10,10,2,0.960000,96.00,-73.774000,selected
can,15,official_vs_ours,Pi0droid LoRA + SAILOR step_init,ours,/OURS/robomimic__can/can15_24000_main_clean_demos15/seed555,/OURS/robomimic__can/can15_24000_main_clean_demos15/seed555/Pi0Jax_eval_videos,/OURS/robomimic__can/can15_24000_main_clean_demos15/seed555/Pi0Jax_eval_videos/step_init,,all,10,10,2,0.240000,24.00,-165.446000,selected
can,15,official_vs_ours,Pi0droid LoRA + SAILOR best round,ours,/OURS/robomimic__can/can15_24000_main_clean_demos15/seed555,/OURS/robomimic__can/can15_24000_main_clean_demos15/seed555/SAILOR_eval_videos,/OURS/robomimic__can/can15_24000_main_clean_demos15/seed555/SAILOR_eval_videos/step_round_30,30,all,10,10,2,0.540000,54.00,-153.104000,selected
can,15,matched_vs_ours,DP + SAILOR step_init,official,/OFFICIAL/robomimic__can/can_15demos_75h_1cpu_40gb_gpu_16ram_resnetload_demos15/seed2,/OFFICIAL/robomimic__can/can_15demos_75h_1cpu_40gb_gpu_16ram_resnetload_demos15/seed2/DP_Distilled_eval_videos,/OFFICIAL/robomimic__can/can_15demos_75h_1cpu_40gb_gpu_16ram_resnetload_demos15/seed2/DP_Distilled_eval_videos/step_init,,all,10,10,2,0.660000,66.00,-122.014000,selected
can,15,matched_vs_ours,DP + SAILOR matched round,official,/OFFICIAL/robomimic__can/can_15demos_75h_1cpu_40gb_gpu_16ram_resnetload_demos15/seed2,/OFFICIAL/robomimic__can/can_15demos_75h_1cpu_40gb_gpu_16ram_resnetload_demos15/seed2/SAILOR_eval_videos,/OFFICIAL/robomimic__can/can_15demos_75h_1cpu_40gb_gpu_16ram_resnetload_demos15/seed2/SAILOR_eval_videos/step_round_30,30,all,10,10,2,0.860000,86.00,-92.528000,selected
can,15,matched_vs_ours,Pi0droid LoRA + SAILOR step_init,ours,/OURS/robomimic__can/can15_24000_main_clean_demos15/seed555,/OURS/robomimic__can/can15_24000_main_clean_demos15/seed555/Pi0Jax_eval_videos,/OURS/robomimic__can/can15_24000_main_clean_demos15/seed555/Pi0Jax_eval_videos/step_init,,all,10,10,2,0.240000,24.00,-165.446000,selected
can,15,matched_vs_ours,Pi0droid LoRA + SAILOR best round,ours,/OURS/robomimic__can/can15_24000_main_clean_demos15/seed555,/OURS/robomimic__can/can15_24000_main_clean_demos15/seed555/SAILOR_eval_videos,/OURS/robomimic__can/can15_24000_main_clean_demos15/seed555/SAILOR_eval_videos/step_round_30,30,all,10,10,2,0.540000,54.00,-153.104000,selected
square,50,latest,Step init,ours,/OURS/robomimic__square/square50_24000_main_clean_demos50/seed555,/OURS/robomimic__square/square50_24000_main_clean_demos50/seed555/Pi0Jax_eval_videos,/OURS/robomimic__square/square50_24000_main_clean_demos50/seed555/Pi0Jax_eval_videos/step_init,,all,10,10,2,0.000000,0.00,-181.214000,selected
square,50,latest,Latest distilled Pi0Jax,ours,/OURS/robomimic__square/square50_24000_main_clean_demos50/seed555,/OURS/robomimic__square/square50_24000_main_clean_demos50/seed555/Pi0Jax_eval_videos,/OURS/robomimic__square/square50_24000_main_clean_demos50/seed555/Pi0Jax_eval_videos/step_round_30,30,all,10,10,2,0.000000,0.00,-185.696000,selected
square,50,latest,Latest round of SAILOR training,ours,/OURS/robomimic__square/square50_24000_main_clean_demos50/seed555,/OURS/robomimic__square/square50_24000_main_clean_demos50/seed555/SAILOR_eval_videos,/OURS/robomimic__square/square50_24000_main_clean_demos50/seed555/SAILOR_eval_videos/step_round_30,30,all,10,10,2,0.000000,0.00,-180.820000,selected
square,50,best,Step init,ours,/OURS/robomimic__square/square50_24000_main_clean_demos50/seed555,/OURS/robomimic__square/square50_24000_main_clean_demos50/seed555/Pi0Jax_eval_videos,/OURS/robomimic__square/square50_24000_main_clean_demos50/seed555/Pi0Jax_eval_videos/step_init,,all,10,10,2,0.000000,0.00,-181.214000,selected
square,50,best,Best distilled Pi0Jax,ours,/OURS/robomimic__square/square50_24000_main_clean_demos50/seed555,/OURS/robomimic__square/square50_24000_main_clean_demos50/seed555/Pi0Jax_eval_videos,/OURS/robomimic__square/square50_24000_main_clean_demos50/seed555/Pi0Jax_eval_videos/step_round_0,0,all,10,10,2,0.000000,0.00,-181.848000,selected
square,50,best,Best round of SAILOR training,ours,/OURS/robomimic__square/square50_24000_main_clean_demos50/seed555,/OURS/robomimic__square/square50_24000_main_clean_demos50/seed555/SAILOR_eval_videos,/OURS/robomimic__square/square50_24000_main_clean_demos50/seed555/SAILOR_eval_videos/step_round_0,0,all,10,10,2,0.000000,0.00,-174.620000,selected
square,50,official_vs_ours,DP + SAILOR step_init,official,/OFFICIAL/robomimic__square/square_50_demos_75h_1cpu_40gb_gpu_18ram_resnetload_demos50/seed0,/OFFICIAL/robomimic__square/square_50_demos_75h_1cpu_40gb_gpu_18ram_resnetload_demos50/seed0/DP_Distilled_eval_videos,/OFFICIAL/robomimic__square/square_50_demos_75h_1cpu_40gb_gpu_18ram_resnetload_demos50/seed0/DP_Distilled_eval_videos/step_init,,all,10,10,2,0.300000,30.00,-152.762000,selected
square,50,official_vs_ours,DP + SAILOR best round,official,/OFFICIAL/robomimic__square/square_50_demos_75h_1cpu_40gb_gpu_18ram_resnetload_demos50/seed0,/OFFICIAL/robomimic__square/square_50_demos_75h_1cpu_40gb_gpu_18ram_resnetload_demos50/seed0/SAILOR_eval_videos,/OFFICIAL/robomimic__square/square_50_demos_75h_1cpu_40gb_gpu_18ram_resnetload_demos50/seed0/SAILOR_eval_videos/step_round_88,88,all,10,10,2,0.740000,74.00,-115.034000,selected
